                 ,   coef   , std err ,    z    ,P>|z| ,  [0.025 ,  0.975] 
const            ,-1536.6535,  715.118,   -2.149, 0.033,-2946.923, -126.384
Quantity.L1      ,    1.2039,    0.071,   16.996, 0.000,    1.064,    1.344
Quantity.L2      ,   -0.1052,    0.112,   -0.940, 0.348,   -0.326,    0.116
Quantity.L3      ,   -0.0053,    0.110,   -0.049, 0.961,   -0.222,    0.212
Quantity.L4      ,   -0.2017,    0.066,   -3.064, 0.002,   -0.331,   -0.072
QBOG_balance.L0  ,   -0.0094,    0.018,   -0.507, 0.613,   -0.046,    0.027
QBOG_balance.L1  ,    0.0457,    0.025,    1.823, 0.070,   -0.004,    0.095
QBOG_balance.L2  ,   -0.0424,    0.025,   -1.678, 0.095,   -0.092,    0.007
QBOG_balance.L3  ,    0.0071,    0.026,    0.277, 0.782,   -0.043,    0.058
QBOG_balance.L4  ,   -0.0133,    0.019,   -0.714, 0.476,   -0.050,    0.024
CPI_chung.L0     , -112.3902,  281.106,   -0.400, 0.690, -666.754,  441.974
CPI_chung.L1     , -236.8646,  288.224,   -0.822, 0.412, -805.265,  331.535
CPI_chung.L2     , -617.4598,  326.857,   -1.889, 0.060,-1262.047,   27.127
CPI_chung.L3     ,  419.7414,  283.657,    1.480, 0.141, -139.653,  979.136
CPI_chung.L4     ,  566.2341,  273.189,    2.073, 0.040,   27.485, 1104.984
CPI_giao_thong.L0,  213.4129,  290.835,    0.734, 0.464, -360.138,  786.963
CPI_giao_thong.L1,  152.5956,  340.229,    0.449, 0.654, -518.362,  823.553
CPI_giao_thong.L2,  618.2032,  399.016,    1.549, 0.123, -168.688, 1405.094
CPI_giao_thong.L3, -464.0168,  333.761,   -1.390, 0.166,-1122.221,  194.187
CPI_giao_thong.L4, -496.3756,  284.163,   -1.747, 0.082,-1056.767,   64.016
Income.L0        ,-4.502e-06, 9.06e-05,   -0.050, 0.960,   -0.000,    0.000
Income.L1        ,   -0.0004,    0.000,   -2.898, 0.004,   -0.001,   -0.000
Income.L2        ,    0.0004,    0.000,    3.047, 0.003,    0.000,    0.001
Income.L3        ,-7.849e-06,    0.000,   -0.060, 0.952,   -0.000,    0.000
Income.L4        ,-4.497e-05, 9.36e-05,   -0.480, 0.632,   -0.000,    0.000